"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.19082931652569e-12,2.35871491283068,0.253,0.043,5.84081306390028e-08,"1","ICOS"
5.77014902884059e-238,4.94373002727281,0.753,0.043,1.05622577972927e-233,"2","MS4A1"
4.6207091474513e-165,4.65092810957751,0.527,0.033,8.4582080944096e-161,"2","CD19"
2.94127433285854e-116,4.34197662502704,0.554,0.037,5.38400266629756e-112,"2","CD79B"
1.07580402087366e-107,4.55383424547147,0.493,0.042,1.96925926020924e-103,"2","CD79A"
5.82558352857538e-99,3.27859449479295,0.554,0.081,1.06637306490572e-94,"2","BANK1"
2.160598033574e-79,3.25481240652968,0.601,0.097,3.95497470045721e-75,"2","SWAP70"
1.32200819590862e-69,3.35945686455288,0.39,0.058,2.41993600261072e-65,"2","WDFY4"
4.22193720773131e-61,4.17326545383832,0.433,0.043,7.72825605875217e-57,"2","MEF2C"
9.36335496307528e-55,3.8615643139664,0.451,0.047,1.71396212599093e-50,"2","MAMU-DMB"
6.2846387503941e-54,2.96258526882967,0.345,0.066,1.15040312325964e-49,"2","HIP1R"
1.02036977824042e-48,4.15571366041171,0.478,0.051,1.8677868790691e-44,"2","HLA-DQA1"
7.81890991611686e-47,2.66549985573029,0.484,0.139,1.43125146014519e-42,"2","KIAA0040"
2.32537560115586e-46,3.30549091622421,0.572,0.083,4.25660003791579e-42,"2","MAMU-DPB"
7.468990413331e-40,2.74167594321785,0.298,0.074,1.36719869516024e-35,"2","KDM4B"
8.75817046850337e-40,3.14392613385708,0.489,0.082,1.60318310425954e-35,"2","DST"
1.56211106279105e-39,2.5464753767814,0.401,0.077,2.85944430043902e-35,"2","MTSS1"
2.83690920531666e-39,3.35149412308818,0.395,0.054,5.19296230033214e-35,"2","MAMU-DMA"
3.95259211539828e-39,2.98350592678766,0.267,0.041,7.23521986723656e-35,"2","RALGPS2"
8.5851518474452e-37,3.56061842624711,0.621,0.09,1.57151204567484e-32,"2","MAMU-DRA"
2.81175161854686e-35,3.64993888894946,0.397,0.047,5.14691133775004e-31,"2","MAMU-DQA1"
8.89377057119061e-35,2.49821650629136,0.538,0.171,1.62800470305644e-30,"2","SMC6"
4.20024897001647e-34,3.26584087384144,0.332,0.052,7.68855573961516e-30,"2","CD74"
1.05277831769704e-32,2.8218827604098,0.298,0.072,1.92711071054443e-28,"2","TSPAN3"
4.86074196128671e-31,3.10058912241918,0.267,0.046,8.89758816013532e-27,"2","FGD2"
7.31452210296009e-31,2.85074743237487,0.626,0.131,1.33892327094684e-26,"2","MAMU-DPA"
1.44096915055159e-30,2.33123835496325,0.345,0.11,2.63769403008468e-26,"2","DGKD"
4.89258077228478e-29,2.82635001612303,0.475,0.12,8.95586910366729e-25,"2","CCDC88A"
1.211568785663e-28,2.10553703626994,0.323,0.109,2.21777666215612e-24,"2","IQSEC1"
3.47073241406798e-28,3.49731711629698,0.352,0.048,6.35317568395144e-24,"2","TCF4"
1.16326385001773e-26,2.18115801301616,0.426,0.158,2.12935447745746e-22,"2","GPR183"
4.70471599039144e-22,2.32590766126796,0.345,0.108,8.61198262041153e-18,"2","SNX5"
7.50951847824726e-22,2.85891118509839,0.276,0.055,1.37461735744316e-17,"2","SP140"
5.43947416921839e-19,2.04616476960178,0.251,0.1,9.95695746675426e-15,"2","INPPL1"
8.01810164132199e-16,2.54841889837885,0.253,0.052,1.46771350544399e-11,"2","PLXNB2"
1.02658425793916e-15,3.76100559572865,0.256,0.039,1.87916248415763e-11,"2","FAM3C"
7.61445567502008e-15,2.41837288447962,0.298,0.059,1.39382611131243e-10,"2","MAMU-DRB1"
2.6640921219491e-07,2.90649081016485,0.504,0.08,0.00487662062922782,"2","IGHM"
1.94502015313502e-24,3.63967749933109,0.266,0.037,3.56035939031365e-20,"4","ENSMMUG00000006919"
1.90116966324909e-18,2.86554141211371,0.365,0.082,3.48009106857745e-14,"4","ENSMMUG00000020716"
1.6790990917135e-17,3.01215047707168,0.272,0.062,3.07359088738156e-13,"4","ENSMMUG00000030445"
4.05053993204297e-16,2.6900934934389,0.569,0.178,7.41451334560466e-12,"4","ENSMMUG00000031524"
2.02195009727737e-13,3.34008549264121,0.394,0.069,3.70117965306623e-09,"4","ENSMMUG00000030448"
1.05571998378003e-12,3.29434591331859,0.272,0.053,1.93249543030934e-08,"4","ENSMMUG00000030117"
7.69734004135398e-11,2.80347305785882,0.414,0.108,1.40899809456985e-06,"4","ENSMMUG00000030923"
2.10236475655524e-10,3.91591065666218,0.297,0.042,3.84837868687437e-06,"4","ENSMMUG00000044088"
2.71870285144003e-10,3.45726517545555,0.357,0.069,4.97658556956097e-06,"4","ENSMMUG00000046996"
3.15140698756559e-10,3.00981078166077,0.479,0.106,5.76865049073881e-06,"4","ENSMMUG00000022130"
3.85625352387038e-10,2.81954763032901,0.368,0.092,7.05887207544473e-06,"4","ENSMMUG00000014862"
1.16092453189474e-09,3.11405568167416,0.47,0.102,2.12507235563333e-05,"4","ENSMMUG00000006383"
1.40188316557483e-09,2.66130824797032,0.431,0.114,2.56614713458474e-05,"4","ENSMMUG00000009018"
1.97572643023619e-09,2.89198148582302,0.436,0.103,3.61656723054735e-05,"4","ENSMMUG00000000201"
1.12978462591031e-08,2.45687247934319,0.569,0.173,0.000206807075772881,"4","ENSMMUG00000006463"
2.24115621711006e-08,2.62846944154401,0.453,0.16,0.000410243645541996,"4","ENSMMUG00000031947"
4.69879463767687e-08,2.26576413001456,0.425,0.152,0.000860114358426751,"4","ENSMMUG00000047655"
1.27140694744387e-07,2.60294107835392,0.499,0.154,0.00232731041729601,"4","ENSMMUG00000011287"
5.57037339916417e-07,2.19907104896425,0.496,0.188,0.01019656850717,"4","ENSMMUG00000031336"
1.99255398854106e-06,3.2990205865308,0.36,0.055,0.0364737007602441,"4","ENSMMUG00000044360"
8.44924644118194e-176,3.87417266972126,0.901,0.161,1.54663456105836e-171,"5","BCL2A1"
8.49261176330879e-164,4.6941448197945,0.994,0.207,1.55457258327367e-159,"5","IFIT2"
2.08486495246349e-140,6.37515539770105,0.494,0.013,3.81634529548442e-136,"5","PTGS2"
8.88153748349167e-130,4.36281554476443,0.889,0.116,1.62576543635315e-125,"5","IL1RN"
5.8422686320302e-128,3.24534051352691,0.875,0.181,1.06942727309313e-123,"5","SLC25A37"
2.4599438383323e-122,3.90573406356875,0.528,0.041,4.50292719606728e-118,"5","CXCR1"
1.03469530845034e-119,3.62225889352458,0.912,0.191,1.89400976211835e-115,"5","IFIT3"
6.92953084903231e-115,2.49665483057528,0.98,0.561,1.26845062191536e-110,"5","NFKBIA"
1.29664682418136e-114,3.33249913689155,0.818,0.158,2.37351201166397e-110,"5","HERC5"
3.67452687538662e-113,3.66680291185478,0.955,0.191,6.7262214453952e-109,"5","IFIT1"
1.58436894048092e-111,3.06138535353043,0.815,0.179,2.90018734555033e-107,"5","NBN"
1.70951812172357e-90,3.69662006304288,0.733,0.085,3.12927292181499e-86,"5","GCA"
1.28633530892761e-88,3.78222351901288,0.435,0.04,2.35463678299199e-84,"5","MGAM"
3.26324025006508e-87,3.5950025759865,0.878,0.182,5.97336127774414e-83,"5","PLEK"
1.5350299992799e-84,2.75316031197666,0.855,0.27,2.80987241368185e-80,"5","AIM2"
4.18474029166983e-82,2.84656156310822,0.824,0.209,7.66016710390163e-78,"5","DDX58"
6.25660259104322e-80,2.3294615158447,0.932,0.392,1.14527110429046e-75,"5","ZCCHC6"
8.57381066360582e-79,3.37339338231425,0.446,0.045,1.56943604197304e-74,"5","S100A12"
2.09885749987899e-78,3.48741234187431,0.926,0.141,3.84195865352849e-74,"5","CD177"
6.26016181159893e-77,3.31293858133221,0.702,0.135,1.14592261961318e-72,"5","RSAD2"
6.837908346685e-77,2.42995263258931,0.827,0.27,1.25167912286069e-72,"5","SAMD9"
1.14615637002442e-76,3.56350909499312,0.446,0.049,2.0980392353297e-72,"5","TNFAIP6"
1.67006896931093e-76,2.38896013380085,0.989,0.449,3.05706124832366e-72,"5","SELL"
