"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.3333928194631e-75,7.28128170189856,0.268,0.001,2.4407755560272e-71,"6","ENSMMUG00000045411"
2.60870404327832e-74,2.15852717379122,0.686,0.173,4.77523275122097e-70,"6","MAMU-DPA"
1.39950037504135e-73,2.47182290474227,0.282,0.035,2.56178543651319e-69,"6","ASAH1"
2.52480787973967e-73,2.26381306459353,0.295,0.046,4.62166082386347e-69,"6","PYCARD"
1.86298991699714e-72,2.3735692188137,0.377,0.061,3.41020304306326e-68,"6","FAM46A"
2.12017944053041e-72,2.15902042544086,0.333,0.069,3.88098846589092e-68,"6","SELENOS"
8.66040970736627e-71,2.58722805268954,0.349,0.06,1.5852879969334e-66,"6","KLF10"
3.92529788840405e-69,2.4224277946806,0.293,0.044,7.18525778472361e-65,"6","MS4A6A"
2.28994681540432e-68,2.18624439643661,0.366,0.066,4.19174764559762e-64,"6","PLXNB2"
2.4882560193244e-67,2.52163938103742,0.32,0.056,4.55475264337332e-63,"6","CTSC"
1.92647749296668e-64,2.01655956422776,0.305,0.067,3.5264170508755e-60,"6","LGALS3"
7.25922336801391e-61,2.57052349309541,0.418,0.092,1.32880083751495e-56,"6","APOBEC3A"
1.95073685193595e-59,2.326654108219,0.293,0.035,3.57082380746875e-55,"6","GNA15"
1.98861707080411e-59,2.44147838251016,0.414,0.07,3.64016354810693e-55,"6","CD163"
5.97456006823321e-59,2.28843644329619,0.268,0.049,1.09364322049009e-54,"6","RASGEF1B"
6.90511466000221e-57,2.66724719538193,0.257,0.037,1.2639812385134e-52,"6","DPYSL2"
3.85850445643059e-55,2.2000580289309,0.303,0.046,7.0629924074962e-51,"6","IGSF6"
2.96072184469382e-52,2.16259506509098,0.385,0.06,5.41960133671204e-48,"6","FGD2"
1.13812263267101e-44,2.03032444784198,0.345,0.084,2.08333347910428e-40,"6","GIMAP4"
5.3077575998978e-44,2.1474453759219,0.408,0.084,9.71585028661292e-40,"6","MAMU-DRB1"
1.95217848861575e-41,2.06470377859491,0.253,0.044,3.57346272341114e-37,"6","GLA"
8.99071933187239e-34,2.03489704685145,0.366,0.081,1.64575117369924e-29,"6","CD74"
2.13449767634225e-27,2.18140638766039,0.406,0.068,3.90719799654449e-23,"6","ENSMMUG00000042343"
4.70651897747865e-183,4.56407536249554,0.989,0.241,8.61528298827467e-179,"7","IFIT2"
7.31556251976313e-166,3.56146911131222,0.916,0.225,1.33911371924264e-161,"7","IFIT3"
4.18947715541203e-143,3.58912691823629,0.882,0.183,7.66883793298172e-139,"7","BCL2A1"
4.11041759534029e-140,4.0318824252607,0.856,0.132,7.5241194082704e-136,"7","IL1RN"
3.2301791229309e-133,3.22683984863371,0.86,0.182,5.912842884525e-129,"7","SLC25A37"
1.82139366078442e-125,2.2955448448914,0.931,0.586,3.33406109606588e-121,"7","NFKBIA"
1.06259904615411e-122,2.97195564918997,0.824,0.205,1.94508755398509e-118,"7","HERC5"
8.17750406346347e-120,5.54660170763085,0.498,0.018,1.49689211881699e-115,"7","PTGS2"
7.56322155097809e-119,2.78550318717018,0.978,0.473,1.38444770490654e-114,"7","ISG15"
1.31351049929402e-118,4.06929733297517,0.511,0.042,2.40438096895771e-114,"7","CXCR1"
5.16397649757933e-117,2.60307864047437,0.918,0.399,9.45265897881897e-113,"7","ZCCHC6"
5.34973776954806e-110,3.18222616426961,0.94,0.249,9.79269498715772e-106,"7","IFIT1"
1.91841174578876e-109,2.70811350262962,0.838,0.285,3.51165270066632e-105,"7","AIM2"
1.39611184498229e-108,3.05020067273329,0.967,0.36,2.55558273224009e-104,"7","GBP2"
2.90278556493827e-105,3.01444790647855,0.722,0.18,5.31354897661951e-101,"7","RSAD2"
1.03955843538403e-103,2.639609460699,0.989,0.442,1.90291171597047e-99,"7","SELL"
